0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:19:42 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:19:42 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:19:42 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:19:42 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:19:43 +0900] "GET /WebMarket/product.jsp?id=P2223 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:19:43 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:19:47 +0900] "GET /WebMarket/product.jsp?id=P1111 HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:21:11 +0900] "GET /WebMarket/Welcome.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:21:15 +0900] "GET /WebMarket/Products.jsp HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:21:17 +0900] "GET /WebMarket/editProduct.jsp?edit=update HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - admin [04/Dec/2021:17:21:23 +0900] "GET /WebMarket/updateProduct.jsp?id=P2223 HTTP/1.1" 200 3123
